unnamed: 0,incident id,incident date,state,city,address,dead,injured,crimetype,participant gender,participant name,participant age group,year,month,day,weekday,loss
2000,,2020-11-17,Kentucky,Louisville,10800 block of Sparrow Cir,,,Children,female,,Child 0-11,2020,11,17,1,
2001,,2020-11-16,Florida,Miami,200 block of S Biscayne River Dr,,,Children,male,Asher,Child 0-11,2020,11,16,0,
2002,,2020-11-16,Florida,Miami,200 block of S Biscayne River Dr,,,Children,female,Mariah,Child 0-11,2020,11,16,0,
2003,,2020-11-16,Illinois,Chicago,200 block of W 115th St,,,Children,male,,Child 0-11,2020,11,16,0,
2004,,2020-11-16,Ohio,Columbus,2047 Bancroft St,,,Children,male,Demonte Walker Jr,Child 0-11,2020,11,16,0,
2005,,2020-11-15,Washington,Tacoma,8800 block of S Sheridan Ave,,,Children,female,,Child 0-11,2020,11,15,6,
2006,,2020-11-13,Missouri,Independence,S Sterling Ave and E US Hwy 40,,,Children,female,,Child 0-11,2020,11,13,4,
2007,,2020-11-13,North Carolina,Leland,1664 Lincoln Rd NE,,,Children,male,,Child 0-11,2020,11,13,4,
2008,,2020-11-13,Connecticut,Plymouth,104 N Main St,,,Children,male,,Child 0-11,2020,11,13,4,
2009,,2020-11-12,Pennsylvania,Philadelphia,1100 block of W Somerset St,,,Children,female,Zylah McQueen,Child 0-11,2020,11,12,3,
2010,,2020-11-11,Wisconsin,Milwaukee,N 25th St and W Chambers St,,,Children,female,,Child 0-11,2020,11,11,2,
2011,,2020-11-09,California,Oakland,600 block of MacArthur Blvd,,,Children,female,,Child 0-11,2020,11,9,0,
2012,,2020-11-09,Kentucky,Louisville,3400 block of W Muhammad Ali Blvd,,,Children,,,Child 0-11,2020,11,9,0,
2013,,2020-11-09,Texas,Dallas,2836 E Overton Rd,,,Children,female,Royalte Bailey,Child 0-11,2020,11,9,0,
2014,,2020-11-09,Indiana,Indianapolis,1200 block of Racquet Club N Dr,,,Children,male,,Child 0-11,2020,11,9,0,
2015,,2020-11-09,Michigan,Detroit,4200 block of Tyler Ave,,,Children,female,,Child 0-11,2020,11,9,0,
2016,,2020-11-08,Virginia,Virginia Beach,3700 block of Whitney Ct,,,Children,,,Child 0-11,2020,11,8,6,
2017,,2020-11-08,Virginia,Virginia Beach,3700 block of Whitney Ct,,,Children,,,Child 0-11,2020,11,8,6,
2018,,2020-11-08,North Carolina,Raleigh,New Bern Ave and Old Milburnie Rd,,,Children,male,,Child 0-11,2020,11,8,6,
2019,,2020-11-06,Washington,Edmonds,,,,Children,female,,Child 0-11,2020,11,6,4,
2020,,2020-11-06,South Carolina,North Charleston,1900 block of Success St,,,Children,female,,Child 0-11,2020,11,6,4,
